id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access
10,Maurya N.S.; Chaudhary A.; Mani P.; Mani A.,Artificial intelligence: Prospects in drug discovery and health technology,2021,Recent Advances in Computer Aided Drug Designing,0.0,,"The cognitive performance of machines is described by artificial intelligence (AI). In different domains of healthcare AI is being used extensively due to its capability to overpower human potential in analyzing the complex forms of data with better accuracy. This article explores the domains where AI has found its applications in the healthcare sector. Healthcare data includes biomedical and clinical data includes images, microbiomic, electronic health records (EHRs), and genetics data form to perform the analysis on it. Machine learning (ML) algorithms that are used for performing the predictions on the dataset are classified as classical ML and Deep learning is based on the capability of the algorithms to process the data to perform the predictions. Various applications have been discussed in the article where the ML algorithms play an important role due to their capability of transfer learning, especially for the diagnostics field. The emergence of the huge amount of biomedical data has made AI an inseparable part of the data analysis due to its strong prediction capability. The accurate translation of AI research into clinically relevant results is a bit challenging due to various reasons like performing retrospective study instead of the prospective one in the clinical field, AI metrics accuracy does not often reflect the clinical efficacy and applicability. © 2021 by Nova Science Publishers, Inc. All rights reserved.",Artificial intelligence; Cognitive; Electronic health records,,"Nova Science Publishers, Inc.",,,,Book chapter,Final,
11,Thacker J.; Morin N.,Optimizing Outcomes with Enhanced Recovery,2021,The ASCRS Textbook of Colon and Rectal Surgery: Fourth Edition,0.0,10.1007/978-3-030-66049-9_7,"Enhanced recovery is the application of evidence-based, perioperative medicine to the care of the surgical patient with a goal of best surgical outcomes. In this chapter we review the thoughtful development of this aspect of perioperative medicine, and, specifically, we discuss the aspects of perioperative medicine that have been defined as enhanced recovery for the colorectal surgery patient. © Springer Nature Switzerland AG 2022.",Change management; Enhanced recovery; Enhanced recovery after surgery; ERAS; Outcomes; Perioperative medicine,,Springer International Publishing,,,,Book chapter,Final,
12,Espinoza J.C.,Integrating diabetes technology data in the EHR,2022,Diabetes Digital Health and Telehealth,0.0,10.1016/B978-0-323-90557-2.00012-1,"Over the past twodecades, a number of technologies have developed that allow patients and professionals to measure and document a number of aspects of diabetes, including blood glucose, medications, diet, physical activity, weight, symptoms, and patient experience. These diabetes technologies generate a wealth of data that until fairly recently was only accessible through manufacturer or developer data portals, decreasing their usability and portability into healthcare settings. Electronic health record data integration presents an exciting opportunity to simplify and streamline diabetes care into a single workflow. By incorporating these additional data sources into the patient's record, providers will have a more holistic view of the patient, which will enable more personalized treatment plans and more comprehensive documentation. However, there are several technical, operational, financial, and regulatory considerations for any data integration project. A relatively recent development, there are few standards for diabetes technology data, resulting in a variety of approaches that may inhibit diffusion and interoperability. This chapter will (1) explore a framework to understand the components required for successful diabetes technology data integration, (2) identify critical barriers to making progress in the field, and (3) propose solutions to deliver on the promise of digital diabetes care. © 2022 Elsevier Inc. All rights reserved.",Continuousglucose monitoring; Data integration; Data standards; Diabetes; EHR; Health information technology; Innovation; Interoperability; Personalized care; Workflows,,Elsevier,,,,Book chapter,Final,
13,Walton N.; Heale B.; Formea C.,Clinical decision support methods and infrastructure,2022,Clinical Decision Support for Pharmacogenomic Precision Medicine: Foundations and Implementation,0.0,10.1016/B978-0-12-824453-1.00001-4,"This chapter reviews modes of information delivery in clinical decision support (CDS) and options for developing pharmacogenomic CDS, including within an Electronic Health Records system or through a third-party application. Many challenges exist in the implementation of pharmacogenomics CDS systems. This chapter serves as a guide to overcoming these challenges while pointing to emerging approaches that promise to reduce several of the common barriers to providing infrastructure for effective pharmacogenomic CDS. © 2022 Elsevier Inc. All rights reserved.",Apps; Automated laboratory results integration; Clinical workflow integration; Decision support delivery; Electronic health records; FHIR; Health information technology standards; ICD; Laboratory interfaces; Pharmacogenomics test results; RxNorm; SMART on FHIR; SNOMED; Technical implementation barriers; Triggers,,Elsevier,,,,Book chapter,Final,
14,Murphy S.N.; Klann J.G.,Information Technology Systems,2022,Clinical Informatics Study Guide,0.0,10.1007/978-3-030-93765-2_10,"At the core of clinical informatics is information technology (IT). IT is how the innovative design behind clinical informatics concepts ultimately are presented externally in the real world. For that reason, one must become intimately familiar with what is possible using IT while navigating its boundaries. This chapter will take the reader through ways to represent data, write programs, and conceptualize networks. With some practice, clinical informaticists will understand the trade-offs in various approaches and make the decisions that will produce a reliable IT system for their organization. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.",Agile method; Application programming interface; Data interoperability; Data warehouses; Database schema; Entity-relationship diagram; ETL; Health information exchange; HIPAA; Network topology; Programming languages; Relational database; Structured query language; Structured/Unstructured data; Waterfall method,,Springer International Publishing,,,,Book chapter,Final,
15,Abhilash C.B.; Deepak K.T.; Hegadi R.; Mahesh K.,Common Data Interface for Sustainable Healthcare System,2022,Machine Learning and Deep Learning in Medical Data Analytics and Healthcare Applications,0.0,10.1201/9781003226147-1,"The legacy healthcare systems operate in silos where administrators and policymakers often find it difficult to interconnect two or more systems for seamless data transfer. One of the major bottlenecks of such silo systems is that they do not fully adhere to healthcare standards. This leads to inefficient utilization of such existing applications. The solution to such a problem is to design a new healthcare system that follows the existing standards. However, migrating the existing data to a newly designed system may not be easy due to its scale and nature. Alternatively, it may be possible to interconnect healthcare systems by bridging the existing data and data standards gap. With interoperability between the healthcare systems, a novel common data interface (CDI) layer is proposed. The CDI layer's scope is vast, where, in this work, the main focus is on semantic data interoperability. Further, this work illustrates the implementation methodologies considering the healthcare use cases. © 2022 selection and editorial matter, Om Prakash Jena, Bharat Bhushan, Utku Kose; individual chapters, the contributors.",,,CRC Press,,,,Book chapter,Final,
16,Seibert D.C.; McBride S.,Genomics and Implications for Health Information Technology,2022,"Nursing Informatics For the advanced practice nurse: Patient Safety, Quality, Outcomes, and Interprofessionalism: THIRD EDITION",0.0,,[No abstract available],,,Springer Publishing Company,,,,Book chapter,Final,
17,Hagen M.D.,"Medical Informatics, the Internet, and Telemedicine",2022,Family Medicine: Principles and Practice: Eighth Edition,0.0,10.1007/978-3-030-54441-6_51,General purpose electronic computers appeared in 1946 with the creation of ENIAC and were first theorized as potentially useful for medical diagnosis by Ledley and Lusted in the 1950s [1]. © Springer Nature Switzerland AG 2022.,,,Springer International Publishing,,,,Book chapter,Final,
18,Austin R.; Rajamani S.; Monsen K.A.,Consumer-Generated Whole-Person Health Data: A Structured Approach,2022,"Nursing and Informatics for the 21st Century - Embracing a Digital World, 3rd Edition, Book 3: Innovation, Technology, and Applied Informatics for Nurses",0.0,10.4324/9781003281016-3,"This chapter describes consumer-generated health data (CGHD) and the potential to apply informatics tools and techniques to advance the use of CGHD to understand whole-person health. Several case studies of research using CGHD with exploratory data analysis methods are described. Whole-person health is multi-faceted, including strengths, challenges and needs across environmental, psychosocial, physiological and health-related behaviors domains. Informatics makes it possible to understand whole-person health from the consumer perspective, which was lacking in big data until recently. Such data, when standardized and interoperable, can transform what is known about health in clinical encounters, communities, systems and populations by giving voice to the consumer perspective. The web-based mobile-enhanced application MyStrengths+MyHealth incorporates best practices to enable such transformation. © 2022 selection and editorial matter, Connie White Delaney, Charlotte A. Weaver, Joyce Sensmeier, Lisiane Pruinelli & Patrick Weber.",,,Taylor and Francis,,,,Book chapter,Final,
19,Hersh W.,Healthcare Data and Exchange Standards,2022,Clinical Informatics Study Guide,0.0,10.1007/978-3-030-93765-2_13,"Data standards are critical for the interoperability of data across electronic health records (EHRs) and other clinical information systems. This chapter describes how standards are developed and by whom. It begins with the rationale for standards and their importance in the interoperability of data. It then covers the four major types of standards. The first of these is identifier standards, which represent people and organizations in the healthcare system, and, most importantly patients. Next are transaction standards that regularize business interactions among healthcare providers, organizations, governments, and others. This is followed by messaging standards, which move different types of data between information systems. Finally, are terminology standards that normalize terms and concepts used for diagnoses, treatments, and other aspects of care. The chapter concludes with a discussion of the emerging SMART on FHIR standard and its critical role in achieving interoperability going forward. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.",Data standards; Fast Healthcare Interoperability Resources (FHIR); HL7; Identifier standards; Interoperability; Messaging standards; Reusable technologies (SMART); Substitutable Medical Apps; Terminology standards; Transaction standards,,Springer International Publishing,,,,Book chapter,Final,
20,Dunnenberger H.M.; Flynn A.J.,A learning health system approach to delivery and adoption of clinical decision support,2022,Clinical Decision Support for Pharmacogenomic Precision Medicine: Foundations and Implementation,0.0,10.1016/B978-0-12-824453-1.00008-7,"In the learning health system approach to improving healthcare, a learning community is formed that commits to learn and apply new insights continuously to improve the quality of care. In this context, a learning cycle approach can be used to reveal new knowledge about pharmacogenomic clinical decision support. This chapter summarizes requirements of the learning health system approach and the role that this approach can have in improving pharmacogenomic clinical decision support. A hypothetical case study is presented to illustrate these principles in practice. Chapter 8, “Clinical Considerations for Clinical Decision Support,” provides additional information about adopting and refining clinical decision support systems for pharmacogenomic precision medicine. © 2022 Elsevier Inc. All rights reserved.",Care; Clinical decision support; Clinical workflows; Genetics; Genomics; Health system; Implementation barriers; Integration; Learning community; Learning cycle; Learning health system; Maintenance; Management; Pharmacogenomics; Pharmacy; Stakeholder engagement,,Elsevier,,,,Book chapter,Final,
21,Perlin J.B.; Baker D.B.; Brailer D.J.; Fridsma D.B.; Frisse M.E.; Halamka J.D.; Levi J.; Mandl K.D.; Marchibroda J.M.; Platt R.; Tang P.C.,Information technology interoperability and use for better care and evidence,2023,Vital Directions for Health & Health Care: An Initiative of the National Academy of Medicine,0.0,,[No abstract available],,,National Academies Press,,,,Book chapter,Final,
22,Lenert L.A.,CDS for public health,2023,Clinical Decision Support and beyond: Progress and Opportunities in Knowledge-Enhanced Health and Healthcare,0.0,10.1016/B978-0-323-91200-6.00015-2,"This chapter discusses the roles of decision support systems in public health as internal tools in public health operations and as external forces used to influence the healthcare system. In that later role, advanced by investments to counter the recent epidemic of opioid overdoses and the COVID-19 pandemic, public health decision support systems are beginning to have major impacts on the healthcare system. Public health decision support systems have many technically advanced features and use data integration, platform-independent implementations of decision-making logic, and advanced approaches for triggering of reporting of cases, based on national standards, to create tools to influence the health system. There is strong data to show the impacts of decision support systems on opioid prescribing and on uptake of vaccines (at a population level) and preliminary data on their value in decision making on vaccine administration at an individual level and for increased reporting of public health notifiable conditions. With deeper integration with electronic health record systems, based on the Fast Healthcare Interoperability Resource standards, and appropriate governmental policy backing, the ability for public health to influence the healthcare system through decision support techniques seems likely to increase over the next few years. © 2023 Elsevier Inc. All rights reserved.",Electronic initial case reporting (e-ICR); Fast Healthcare Interoperability Resource (FHIR); Immunization information system; Prescription drug monitoring database; Vaccine forecasting,,Elsevier,,,,Book chapter,Final,
23,Pratyusha M.G.; Sinha A.K.,GraLSTM: A distributed learning model for efficient IoT resource allocation in healthcare,2023,Smart Embedded Systems: Advances and Applications,0.0,10.1201/9781032628059-12,"The integration of the internet of things (IoT) and electronic health records (EHR), which enables continuous monitoring and seamless data integration, offers numerous benefits such as remote patient monitoring, personalized healthcare, and improved patient outcomes. However, efficiently allocating resources in the IoT-EHR ecosystem poses significant challenges in decision-making. To address the problem, this work develops GraLSTM, a distributed model that combines graph neural networks (GNNs) with LSTM for efficient anomaly detection. The GraLSTM architecture effectively captures spatial and temporal data dependencies, outperforming GCN and GNN. Experimental findings after training with dynamic data showed that GraLSTM, with multiple IoT devices, achieved the lowest loss and batch loading time, resulting in fast computational speed and scalability to support clinical decision-making. © 2024 selection and editorial matter, Arun Kumar Sinha, Abhishek Sharma, Luiz Alberto Pasini Melek and Daniele D. Caviglia.",,,CRC Press,,,,Book chapter,Final,
24,Del Fiol G.; Yu H.; Cimino J.J.,Infobuttons and point of care access to knowledge,2023,Clinical Decision Support and beyond: Progress and Opportunities in Knowledge-Enhanced Health and Healthcare,0.0,10.1016/B978-0-323-91200-6.00017-6,"Clinicians' information needs are frequent and, all too often, unresolved. Online information resources are available to address many of these needs, but they are underutilized for a variety of reasons. The information needs that arise while clinicians use clinical information systems are particularly disposed to resolution with such resources. Many researchers have investigated approaches to integrating these systems with each other. One method that has been investigated and shows promise to being widely disseminated is called “infobuttons.” We describe work to develop infobutton managers that provide a flexible, generic method for integrating infobuttons with clinical systems. These infobutton managers have been successfully integrated with several different clinical information systems in an institution-independent manner. We also describe a standard developed by Health Level Seven International (HL7) to enable a standards-based approach to implementing infobuttons. Finally, we discuss ongoing research related to this kind of clinical decision support capability, including question and answering systems, as well as potential future directions. © 2023 Elsevier Inc. All rights reserved.",Clinical decision support; Clinical information system; Electronic health record system; Health information technology standard; Infobutton; Information need; Information retrieval; Just-in-time learning; Medical decision making; Online knowledge resource; Standard terminology,,Elsevier,,,,Book chapter,Final,
25,Greenes R.A.; Del Fiol G.,The journey to broad adoption,2023,Clinical Decision Support and beyond: Progress and Opportunities in Knowledge-Enhanced Health and Healthcare,0.0,10.1016/B978-0-323-91200-6.00025-5,"In this chapter, we describe the challenges of incorporating clinical decision support (CDS) into operational environments. Effective CDS tools occur at the right time, are presented to a user who is able or willing to carry out the decisions supported by the CDS, is presented in an optimal format, is sufficiently patient-specific, and interfaces optimally with the clinical workflow. Much of this is dependent on the technology available, which has evolved over the decades. This chapter discusses how available technology, data sources, regulations, and the organization of healthcare delivery have evolved overtime, serving both as enablers and barriers for effective CDS. © 2023 Elsevier Inc. All rights reserved.",Clinical decision support; Clinical workflow; Healthcare delivery; Knowledge management,,Elsevier,,,,Book chapter,Final,
26,Ancker J.S.; Turchioe M.R.,The promise of patient-directed decision support,2023,Clinical Decision Support and beyond: Progress and Opportunities in Knowledge-Enhanced Health and Healthcare,0.0,10.1016/B978-0-323-91200-6.00004-8,"Clinical decision support, focused on providing timely information to clinicians to support evidence-based decision-making, has been a major theme of informatics research. By contrast, patient-directed decision support (support directed toward patients) has attracted less attention in the field. Patient-directed decision support involves supporting patients and their caregivers, with or without their care teams, in health-related decisions and actions. Information alone is not sufficient to support patient decisions: information about a decision must be accompanied by methods of eliciting patient values and preferences, guidance about how to apply values and preferences to decisions, and support for patient-provider shared decision making discussions. Technological solutions for patients include decision aids for one-time decisions and disease management systems for recurring disease-related decisions. All solutions for patients must consider technology access and literacy, self-efficacy for decision making, health literacy and numeracy, and implementation into workflow. Bringing informatics awareness to this important work could strengthen the field by ensuring that the tools patients need for decisions are grounded in the best evidence, developed with attention to patient needs and requirements, and (where appropriate) integrated into clinical systems, teams, and workflow. © 2023 Elsevier Inc. All rights reserved.",Clinical decision support; Digital technology; Health literacy; Mobile health; Patient engagement; Self-management; Shared decision-making,,Elsevier,,,,Book chapter,Final,
27,Sundaram A.,Data-driven analytics for sustainable mental healthcare,2024,"Artificial Intelligence Transformations for Healthcare Applications: Medical Diagnosis, Treatment, and Patient Care",0.0,10.4018/979-8-3693-7462-7.ch006,"The integration of data-driven analytics and mental healthcare has emerged as a promising frontier in the contemporary landscape of healthcare. Mental health disorders constitute a significant global burden, affecting millions of individuals across diverse demographics. However, traditional approaches to mental healthcare grapple with challenges such as resource constraints, stigma, etc. The integration of data-driven analytics into mental health strategies promises to address these challenges by offering personalized, evidence-based interventions, optimizing resource allocation, and promoting preventive measures. This chapter navigates through the landscape of sustainable mental healthcare, shedding light on how data analytics can contribute to early detection, personalized treatment plans, and continuous monitoring of mental health conditions. Moreover, the chapter delves into the ethical considerations surrounding the use of data in mental healthcare, exploring the delicate balance between privacy concerns and the imperative to harness the potential of data for the greater good. © 2024 by IGI Global.",,,IGI Global,,,,Book chapter,Final,
28,Maghool S.; Bellandi V.; Ceravolo P.,Technologies and Strategies for Continuous Learning through Electronic Health Records Data,2024,Intelligent Systems Reference Library,0.0,10.1007/978-3-031-65430-5_1,"Achieving a comprehensive view of a patient’s health using data from Electronic Health Record systems requires the use of advanced analytics. However, effectively managing and curating this data requires carefully designed workflows. While digitization and standardization enable continuous health monitoring, issues such as missing data values and technical glitches can jeopardize data consistency and timeliness. On the other hand, the Efficiency in processing the large volume of data from disparate sources generated by the healthcare industry is critical. In this chapter, we try to provide an overview of how distributed computing and Artificial Intelligence can be used in the context of smart healthcare and big data in practical use cases, enabling insights to improve patient care. In addition, we propose a workflow for developing prognostic models that uses the SMART BEAR infrastructure and leverages the capabilities of the Big Data Analytics engine to standardize and harmonize data. Our workflow improves data quality by evaluating different imputation algorithms and selecting the one that preserves the distribution and correlation of features similar to the original data. We applied this workflow to a subset of data in the SMART BEAR repository and evaluated its impact on predicting future health conditions, such as cardiovascular disease and mild depression. We also explored the potential for model validation by clinicians in the SMART BEAR project, the transfer of subsequent actions within the decision support system, and the estimation of the required number of data points. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Analytics; Cloud computation; Internet of Things (IoT); Machine learning; Smart healthcare,,Springer Science and Business Media Deutschland GmbH,,,,Book chapter,Final,
29,Baihan M.S.; Demurjian S.A.,An access control framework for secure and interoperable cloud computing applied to the healthcare domain,2017,Research Advances in Cloud Computing,1.0,10.1007/978-981-10-5026-8_16,"The healthcare domain is an emergent application for cloud computing, in which the Meaningful Use Stage 3 guidelines recommend health information technology (HIT) systems to provide cloud services that enable health-related data owners to access, modify, and exchange data. This requiresmobile and desktop applications for patients and medical providers to obtain healthcare data from multiple HITs, which may be operating with different paradigms (e.g., cloud services, programming services, web services), use different cloud service providers, and employ different security/access control techniques. To address these issues, this chapter introduces and discusses an Access Control Framework for Secure and Interoperable Cloud Computing (FSICC) that provides a mechanism for multiple HITs to register cloud, programming, and web services and security requirements for use by applications. FSICC supports a global security policy and enforcement mechanism for cloud services with role-based (RBAC), discretionary (DAC), and mandatory (MAC) access controls. The Fast Healthcare Interoperability Resources (FHIR) standard models healthcare data using a set of 93 resources to track a patient's clinical findings, problems, etc. For each resource, an FHIR Application Program Interface (API) is defined to share data in a common format for each HIT that can be accessed by mobile applications. Thus, there is a need to support with a heterogeneous set of information sources and differing security protocols (i.e., RBAC, DAC, and MAC). To demonstrate the realization of FSICC, we apply the framework to the integration of the Connecticut Concussion Tracker (CT2) mHealth application with the OpenEMR electronic medical record utilizing FHIR. © Springer Nature Singapore Pte Ltd. 2017.",,,Springer Singapore,,,,Book chapter,Final,
30,Mandl K.D.; Mandel J.C.; Pfiffner P.B.,An Apps-Based Information Economy in Healthcare,2017,Key Advances in Clinical Informatics: Transforming Health Care through Health Information Technology,1.0,10.1016/B978-0-12-809523-2.00016-9,"Traditionally, most healthcare organizations have limited the technology platforms that clinicians use—often to a single, electronic health record (EHR)—largely because integration with the EHR after purchase is an expensive, slow process that must be repeated for each new product. This walled-off market has posed insurmountable barriers to entry for start-ups and larger firms alike. Further, it has limited clinicians’ ability to customize EHRs in ways that improve care or workflows. Through a uniform, standards-based, public application programming interface, it is becoming possible to add connected apps to EHRs. We describe the SMART Health IT project which has an audacious goal that an app written once can run anywhere at the point of care or for the patient at home. © 2018 Elsevier Inc. All rights reserved.",app store; Application programming interface; electronic health record,,Elsevier,,,,Book chapter,Final,
