PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31021756","Health Care in the Age of Interoperability: Part 4","Braunstein ML.","IEEE Pulse. 2019 Mar-Apr;10(2):31-33. doi: 10.1109/MPULS.2019.2899706.","Braunstein ML","IEEE Pulse","2019","2019/04/26","","","10.1109/MPULS.2019.2899706"
"28850154","A FHIR Human Leukocyte Antigen (HLA) Interface for Platelet Transfusion Support","Gordon WJ, Baronas J, Lane WJ.","Appl Clin Inform. 2017 Jun 7;8(2):603-611. doi: 10.4338/ACI-2017-01-CR-0010.","Gordon WJ","Appl Clin Inform","2017","2017/08/30","PMC6241748","","10.4338/ACI-2017-01-CR-0010"
"36247086","Clinical, technical, and implementation characteristics of real-world health applications using FHIR","Griffin AC, He L, Sunjaya AP, King AJ, Khan Z, Nwadiugwu M, Douthit B, Subbian V, Nguyen V, Braunstein M, Jaffe C, Schleyer T.","JAMIA Open. 2022 Oct 12;5(4):ooac077. doi: 10.1093/jamiaopen/ooac077. eCollection 2022 Dec.","Griffin AC","JAMIA Open","2022","2022/10/17","PMC9555876","","10.1093/jamiaopen/ooac077"
"36623759","Targeting repetitive laboratory testing with electronic health records-embedded predictive decision support: A pre-implementation study","Rabbani N, Ma SP, Li RC, Winget M, Weber S, Boosi S, Pham TD, Svec D, Shieh L, Chen JH.","Clin Biochem. 2023 Mar;113:70-77. doi: 10.1016/j.clinbiochem.2023.01.002. Epub 2023 Jan 7.","Rabbani N","Clin Biochem","2023","2023/01/09","PMC9936847","NIHMS1866520","10.1016/j.clinbiochem.2023.01.002"
"34345802","Establishing a multidisciplinary initiative for interoperable electronic health record innovations at an academic medical center","Kawamoto K, Kukhareva PV, Weir C, Flynn MC, Nanjo CJ, Martin DK, Warner PB, Shields DE, Rodriguez-Loya S, Bradshaw RL, Cornia RC, Reese TJ, Kramer HS, Taft T, Curran RL, Morgan KL, Borbolla D, Hightower M, Turnbull WJ, Strong MB, Chapman WW, Gregory T, Stipelman CH, Shakib JH, Hess R, Boltax JP, Habboushe JP, Sakaguchi F, Turner KM, Narus SP, Tarumi S, Takeuchi W, Ban H, Wetter DW, Lam C, Caverly TJ, Fagerlin A, Norlin C, Malone DC, Kaphingst KA, Kohlmann WK, Brooke BS, Del Fiol G.","JAMIA Open. 2021 Jul 31;4(3):ooab041. doi: 10.1093/jamiaopen/ooab041. eCollection 2021 Jul.","Kawamoto K","JAMIA Open","2021","2021/08/04","PMC8325485","","10.1093/jamiaopen/ooab041"
"33653260","vcf2fhir: a utility to convert VCF files into HL7 FHIR format for genomics-EHR integration","Dolin RH, Gothi SR, Boxwala A, Heale BSE, Husami A, Jones J, Khangar H, Londhe S, Naeymi-Rad F, Rao S, Rapchak B, Shalaby J, Suraj V, Xie N, Chamala S, Alterovitz G.","BMC Bioinformatics. 2021 Mar 2;22(1):104. doi: 10.1186/s12859-021-04039-1.","Dolin RH","BMC Bioinformatics","2021","2021/03/03","PMC7923512","","10.1186/s12859-021-04039-1"
"28815145","Evolving Research Data Sharing Networks to Clinical App Sharing Networks","Wagholikar KB, Jain R, Oliveira E, Mandel J, Klann J, Colas R, Patil P, Yadav K, Mandl KD, Carton T, Murphy SN.","AMIA Jt Summits Transl Sci Proc. 2017 Jul 26;2017:302-307. eCollection 2017.","Wagholikar KB","AMIA Jt Summits Transl Sci Proc","2017","2017/08/18","PMC5543356","",""
"31993507","SMART Markers: collecting patient-generated health data as a standardized property of health information technology","Sayeed R, Gottlieb D, Mandl KD.","NPJ Digit Med. 2020 Jan 23;3:9. doi: 10.1038/s41746-020-0218-6. eCollection 2020.","Sayeed R","NPJ Digit Med","2020","2020/01/30","PMC6978521","","10.1038/s41746-020-0218-6"
"39176823","A Concept for Integrating AI-Based Support Systems into Clinical Practice","Hoffmann K, Gebler R, Grummt S, Peng Y, Reinecke I, Wolfien M, Sedlmayr M.","Stud Health Technol Inform. 2024 Aug 22;316:643-644. doi: 10.3233/SHTI240495.","Hoffmann K","Stud Health Technol Inform","2024","2024/08/23","","","10.3233/SHTI240495"
"39079482","MoCab: A framework for the deployment of machine learning models across health information systems","Kuo ZM, Chen KF, Tseng YJ.","Comput Methods Programs Biomed. 2024 Oct;255:108336. doi: 10.1016/j.cmpb.2024.108336. Epub 2024 Jul 20.","Kuo ZM","Comput Methods Programs Biomed","2024","2024/07/30","","","10.1016/j.cmpb.2024.108336"
"35234708","Feasibility of Electronic Health Record Integration of a SMART Application to Facilitate Patient-Provider Communication for Medication Management","Spratt SE, Ravneberg D, Derstine B, Granger BB.","Comput Inform Nurs. 2022 Aug 1;40(8):538-546. doi: 10.1097/CIN.0000000000000891.","Spratt SE","Comput Inform Nurs","2022","2022/03/02","","","10.1097/CIN.0000000000000891"
"33306034","The 21st Century Cures Act: A Competitive Apps Market and the Risk of Innovation Blocking","Gordon WJ, Mandl KD.","J Med Internet Res. 2020 Dec 11;22(12):e24824. doi: 10.2196/24824.","Gordon WJ","J Med Internet Res","2020","2020/12/11","PMC7762678","","10.2196/24824"
"31119199","Semantic integration of clinical laboratory tests from electronic health records for deep phenotyping and biomarker discovery","Zhang XA, Yates A, Vasilevsky N, Gourdine JP, Callahan TJ, Carmody LC, Danis D, Joachimiak MP, Ravanmehr V, Pfaff ER, Champion J, Robasky K, Xu H, Fecho K, Walton NA, Zhu RL, Ramsdill J, Mungall CJ, Köhler S, Haendel MA, McDonald CJ, Vreeman DJ, Peden DB, Bennett TD, Feinstein JA, Martin B, Stefanski AL, Hunter LE, Chute CG, Robinson PN.","NPJ Digit Med. 2019;2:32. doi: 10.1038/s41746-019-0110-4. Epub 2019 May 2.","Zhang XA","NPJ Digit Med","2019","2019/05/24","PMC6527418","NIHMS1028600","10.1038/s41746-019-0110-4"
"36222792","Successful Integration of EN/ISO 13606-Standardized Extracts From a Patient Mobile App Into an Electronic Health Record: Description of a Methodology","Frid S, Fuentes Expósito MA, Grau-Corral I, Amat-Fernandez C, Muñoz Mateu M, Pastor Duran X, Lozano-Rubí R.","JMIR Med Inform. 2022 Oct 12;10(10):e40344. doi: 10.2196/40344.","Frid S","JMIR Med Inform","2022","2022/10/12","PMC9607921","","10.2196/40344"
"33306804","A proposal for shoring up Federal Trade Commission protections for electronic health record-connected consumer apps under 21st Century Cures","Sayeed R, Jones J, Gottlieb D, Mandel JC, Mandl KD.","J Am Med Inform Assoc. 2021 Mar 1;28(3):640-645. doi: 10.1093/jamia/ocaa227.","Sayeed R","J Am Med Inform Assoc","2021","2020/12/11","PMC7936404","","10.1093/jamia/ocaa227"
"33938806","Integrating Option Grid Patient Decision Aids in the Epic Electronic Health Record: Case Study at 5 Health Systems","Scalia P, Ahmad F, Schubbe D, Forcino R, Durand MA, Barr PJ, Elwyn G.","J Med Internet Res. 2021 May 3;23(5):e22766. doi: 10.2196/22766.","Scalia P","J Med Internet Res","2021","2021/05/03","PMC8129884","","10.2196/22766"
"31245598","Use of EHRs data for clinical research: Historical progress and current applications","Nordo AH, Levaux HP, Becnel LB, Galvez J, Rao P, Stem K, Prakash E, Kush RD.","Learn Health Syst. 2019 Jan 16;3(1):e10076. doi: 10.1002/lrh2.10076. eCollection 2019 Jan.","Nordo AH","Learn Health Syst","2019","2019/06/28","PMC6508843","","10.1002/lrh2.10076"
"38222334","The SIMPLE Architectural Pattern for Integrating Patient-Facing Apps into Clinical Workflows: Desiderata and Application for Lung Cancer Screening","Balbin CA, Kawamoto K.","AMIA Annu Symp Proc. 2024 Jan 11;2023:844-853. eCollection 2023.","Balbin CA","AMIA Annu Symp Proc","2024","2024/01/15","PMC10785839","",""
"33975376","Leveraging Artificial Intelligence to Improve Chronic Disease Care: Methods and Application to Pharmacotherapy Decision Support for Type-2 Diabetes Mellitus","Tarumi S, Takeuchi W, Chalkidis G, Rodriguez-Loya S, Kuwata J, Flynn M, Turner KM, Sakaguchi FH, Weir C, Kramer H, Shields DE, Warner PB, Kukhareva P, Ban H, Kawamoto K.","Methods Inf Med. 2021 Jun;60(S 01):e32-e43. doi: 10.1055/s-0041-1728757. Epub 2021 May 11.","Tarumi S","Methods Inf Med","2021","2021/05/11","PMC8294941","","10.1055/s-0041-1728757"
"29843696","Implementation of a patient-facing genomic test report in the electronic health record using a web-application interface","Williams MS, Kern MS, Lerch VR, Billet J, Williams JL, Moore GJ.","BMC Med Inform Decis Mak. 2018 May 30;18(1):32. doi: 10.1186/s12911-018-0614-x.","Williams MS","BMC Med Inform Decis Mak","2018","2018/05/31","PMC5975475","","10.1186/s12911-018-0614-x"
"39176482","Synthetic Data Generation in Hematology - Paving the Way for OMOP and FHIR Integration","Hahn W, Ahmadi N, Hoffmann K, Eckardt JN, Sedlmayr M, Wolfien M.","Stud Health Technol Inform. 2024 Aug 22;316:1472-1476. doi: 10.3233/SHTI240692.","Hahn W","Stud Health Technol Inform","2024","2024/08/23","","","10.3233/SHTI240692"
"38903818","Streamlining intersectoral provision of real-world health data: a service platform for improved clinical research and patient care","Hoffmann K, Nesterow I, Peng Y, Henke E, Barnett D, Klengel C, Gruhl M, Bartos M, Nüßler F, Gebler R, Grummt S, Seim A, Bathelt F, Reinecke I, Wolfien M, Weidner J, Sedlmayr M.","Front Med (Lausanne). 2024 Jun 5;11:1377209. doi: 10.3389/fmed.2024.1377209. eCollection 2024.","Hoffmann K","Front Med (Lausanne)","2024","2024/06/21","PMC11188485","","10.3389/fmed.2024.1377209"
"38287642","Beyond compliance with the 21st Century Cures Act Rule: a patient controlled electronic health information export application programming interface","Phelan D, Gottlieb D, Mandel JC, Ignatov V, Jones J, Marquard B, Ellis A, Mandl KD.","J Am Med Inform Assoc. 2024 Apr 3;31(4):901-909. doi: 10.1093/jamia/ocae013.","Phelan D","J Am Med Inform Assoc","2024","2024/01/30","PMC10990503","","10.1093/jamia/ocae013"
"39395532","Family history and cancer risk study (FOREST): A clinical trial assessing electronic patient-directed family history input for identifying patients at risk of hereditary cancer","Mittendorf KF, Bland HT, Andujar J, Celaya-Cobbs N, Edwards C, Gerhart M, Hooker G, Hubert M, Jones SH, Marshall DR, Myers RA, Pratap S, Rosenbloom ST, Sadeghpour A, Wu RR, Orlando LA, Wiesner GL.","Contemp Clin Trials. 2024 Oct 10:107714. doi: 10.1016/j.cct.2024.107714. Online ahead of print.","Mittendorf KF","Contemp Clin Trials","2024","2024/10/12","","","10.1016/j.cct.2024.107714"
