Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Texts,Correspondence Address,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Rabbani N.; Ma S.P.; Li R.C.; Winget M.; Weber S.; Boosi S.; Pham T.D.; Svec D.; Shieh L.; Chen J.H.,"Rabbani, Naveed (57475465700); Ma, Stephen P. (57094405600); Li, Ron C. (57203692205); Winget, Marcy (6602093987); Weber, Susan (23973881900); Boosi, Srinivasan (58069335900); Pham, Tho D. (56008984100); Svec, David (57190440965); Shieh, Lisa (56017623900); Chen, Jonathan H. (57112911000)",57475465700; 57094405600; 57203692205; 6602093987; 23973881900; 58069335900; 56008984100; 57190440965; 56017623900; 57112911000,Targeting repetitive laboratory testing with electronic health records-embedded predictive decision support: A pre-implementation study,2023,Clinical Biochemistry,113,,,70,77,7.0,3.0,10.1016/j.clinbiochem.2023.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146467573&doi=10.1016%2fj.clinbiochem.2023.01.002&partnerID=40&md5=096a72aafa8ab9ed6ea1a7aa3ffa29de,"Introduction: Unnecessary laboratory testing contributes to patient morbidity and healthcare waste. Despite prior attempts at curbing such overutilization, there remains opportunity for improvement using novel data-driven approaches. This study presents the development and early evaluation of a clinical decision support tool that uses a predictive model to help providers reduce low-yield, repetitive laboratory testing in hospitalized patients. Methods: We developed an EHR-embedded SMART on FHIR application that utilizes a laboratory test result prediction model based on historical laboratory data. A combination of semi-structured physician interviews, usability testing, and quantitative analysis on retrospective laboratory data were used to inform the tool's development and evaluate its acceptability and potential clinical impact. Key results: Physicians identified culture and lack of awareness of repeat orders as key drivers for overuse of inpatient blood testing. Users expressed an openness to a lab prediction model and 13/15 physicians believed the tool would alter their ordering practices. The application received a median System Usability Scale score of 75, corresponding to the 75th percentile of software tools. On average, physicians desired a prediction certainty of 85% before discontinuing a routine recurring laboratory order and a higher certainty of 90% before being alerted. Simulation on historical lab data indicates that filtering based on accepted thresholds could have reduced ∼22% of repeat chemistry panels. Conclusions: The use of a predictive algorithm as a means to calculate the utility of a diagnostic test is a promising paradigm for curbing laboratory test overutilization. An EHR-embedded clinical decision support tool employing such a model is a novel and acceptable intervention with the potential to reduce low-yield, repetitive laboratory testing. © 2023 The Canadian Society of Clinical Chemists",Clinical decision support; Healthcare utilization; Laboratory information systems; Laboratory testing; Prediction algorithms,"Computer Simulation; Decision Support Systems, Clinical; Electronic Health Records; Humans; Physicians; Retrospective Studies; Software; Article; blood examination; clinical decision support system; controlled study; electronic health record; Fast Healthcare Interoperability Resources; hospital patient; human; laboratory test; medical decision making; medical order; physician; physician attitude; predictive model; quantitative analysis; semi structured interview; total quality management; usability testing; computer simulation; electronic health record; physician; retrospective study; software","Funding text 1: This study was partly supported through the Stanford Health Care Cost Savings Reinvestment Program and the Office of the Chief Medical Information Officer at Stanford Health Care. Naveed Rabbani was supported by the Stanford Department of Pediatrics’ Fellowship in Clinical Informatics. Jonathan H Chen was supported in part by the NIH/National Library of Medicine Award R56LM013365, the Stanford Artificial Intelligence in Medicine and Imaging and Human-Centered Artificial Intelligence (AMIA-HAI) Partnership Grant, Stanford Aging and Ethnogeriatrics Research Center (under NIH/National Institute on Aging grant P30AG059307), the Stanford Clinical Excellence Research Center (CERC), the Doris Duke Charitable Foundation “Covid-19 Fund to Retain Clinical Scientists”, and Google, Inc research collaboration to leverage EHR data for predicting clinical outcomes. ; Funding text 2: The authors acknowledge Laura Holdsworth for her initial consultation on qualitative analysis methodology. This study was partly supported through the Stanford Health Care Cost Savings Reinvestment Program and the Office of the Chief Medical Information Officer at Stanford Health Care. Naveed Rabbani was supported by the Stanford Department of Pediatrics’ Fellowship in Clinical Informatics. Jonathan H Chen was supported in part by the NIH/National Library of Medicine Award R56LM013365, the Stanford Artificial Intelligence in Medicine and Imaging and Human-Centered Artificial Intelligence (AMIA-HAI) Partnership Grant, Stanford Aging and Ethnogeriatrics Research Center (under NIH/National Institute on Aging grant P30AG059307), the Stanford Clinical Excellence Research Center (CERC), the Doris Duke Charitable Foundation “Covid-19 Fund to Retain Clinical Scientists”, and Google, Inc research collaboration to leverage EHR data for predicting clinical outcomes. The Stanford University Institutional Review Board granted exempt status for this work under the grounds of quality improvement, protocol number 65067. Verbal informed consent was obtained by all interviewed participants including consent to record the interview and consent to use of anonymized excerpts in any resulting publications. De-identified electronic medical records laboratory data was used to create the predictive model and perform the presented retrospective analyses. Informed consent for these data was not required because the study used only secondary analysis of existing clinical data. Patient data was extracted and de-identified by the Stanford Medicine Research Data Repository. Use of this data was approved by the Institutional Review Board at Stanford University under protocol number 47618. Verbal informed consent was obtained from all interview participants to use anonymized excerpts and extracted themes in publications resulting from this work. The interview transcripts generated and analyzed during the study are not publicly available in order to protect the privacy of study participants. However, our interview guide is included in the supplemental materials. The de-identified EHR data analyzed during the study are provided by the Stanford Medicine Research Data Repository and are not publicly available due to compliance restrictions from our institution around the dissemination of high risk de-identified medical data. Aggregated calculations used to derive our prediction model are available in the supplemental material. Similarly, study code is publicly viewable at our research group's github page https://github.com/HealthRex/CDSS/tree/master/scripts/Labogram.","N. Rabbani; Stanford, 453 Quarry Road, MC 5660, 94304, United States; email: nrabbani@stanford.edu",Elsevier Inc.,,,,,,00099120,,CLBIA,36623759.0,English,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85146467573
Dunn T.; Cosgun E.,"Dunn, Tim (57225390659); Cosgun, Erdal (35274595400)",57225390659; 35274595400,A cloud-based pipeline for analysis of FHIR and long-read data,2023,Bioinformatics Advances,3,1,vbac095,,,,2.0,10.1093/bioadv/vbac095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159212188&doi=10.1093%2fbioadv%2fvbac095&partnerID=40&md5=41afade1192618e935ac8b563d74062c,"Motivation: As genome sequencing becomes cheaper and more accurate, it is becoming increasingly viable to merge this data with electronic health information to inform clinical decisions. Results: In this work, we demonstrate a full pipeline for working with both PacBio sequencing data and clinical FHIRVR data, from initial data to tertiary analysis. The electronic health records are stored in FHIRVR (Fast Healthcare Interoperability Resource) format, the current leading standard for healthcare data exchange. For the genomic data, we perform variant calling on long-read PacBio HiFi data using Cromwell on Azure. Both data formats are parsed, processed and merged in a single scalable pipeline which securely performs tertiary analyses using cloud-based Jupyter notebooks. We include three example applications: exporting patient information to a database, clustering patients and performing a simple pharmacogenomic study. © Bioinformatics Advances. All Rights Reserved.",,,,"T. Dunn; Computer Science and Engineering, University of Michigan, Ann Arbor, 48109, United States; email: timdunn@umich.edu",Oxford University Press,,,,,,26350041,,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85159212188
Wagholikar K.B.; Ainsworth L.; Zelle D.; Chaney K.; Mendis M.; Klann J.; Blood A.J.; Miller A.; Chulyadyo R.; Oates M.; Gordon W.J.; Aronson S.J.; Scirica B.M.; Murphy S.N.,"Wagholikar, Kavishwar B. (35786418500); Ainsworth, Layne (57216937183); Zelle, David (57219250967); Chaney, Kira (57222265030); Mendis, Michael (22035413400); Klann, Jeffery (25929304800); Blood, Alexander J. (57195434469); Miller, Angela (57222264285); Chulyadyo, Rupendra (57773540100); Oates, Michael (57194785354); Gordon, William J. (57195487904); Aronson, Samuel J. (37064299800); Scirica, Benjamin M. (6602484433); Murphy, Shawn N. (7402778470)",35786418500; 57216937183; 57219250967; 57222265030; 22035413400; 25929304800; 57195434469; 57222264285; 57773540100; 57194785354; 57195487904; 37064299800; 6602484433; 7402778470,I2b2-etl: Python application for importing electronic health data into the informatics for integrating biology and the bedside platform,2022,Bioinformatics,38,20,,4833,4836,3.0,0.0,10.1093/bioinformatics/btac595,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140144748&doi=10.1093%2fbioinformatics%2fbtac595&partnerID=40&md5=ccc444061bd9915f84a47e1beeb7de52,"Motivation: The i2b2 platform is used at major academic health institutions and research consortia for querying for electronic health data. However, a major obstacle for wider utilization of the platform is the complexity of data loading that entails a steep curve of learning the platform's complex data schemas. To address this problem, we have developed the i2b2-etl package that simplifies the data loading process, which will facilitate wider deployment and utilization of the platform. Results: We have implemented i2b2-etl as a Python application that imports ontology and patient data using simplified input file schemas and provides inbuilt record number de-identification and data validation. We describe a real-world deployment of i2b2-etl for a population-management initiative at MassGeneral Brigham.  © 2022 The Author(s).",,"Biology; Databases, Factual; Electronic Health Records; Humans; Informatics; Information Storage and Retrieval; adult; article; human; information science; ontology; patient coding; biology; electronic health record; factual database; information retrieval; information science","This work was supported by MassGeneral Brigham and National Institutes of Health [R00-LM011575, R01-HG009174 and R01HL151643]. ","K.B. Wagholikar; Harvard Medical School, Boston, 02115, United States; email: kwagholikar@mgh.harvard.edu",Oxford University Press,,,,,,13674803,,BOINF,36053173.0,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85140144748
Singh N.; Varshney U.,"Singh, Neetu (57199961634); Varshney, Upkar (7005986164)",57199961634; 7005986164,Adaptive interventions for opioid prescription management and consumption monitoring,2023,Journal of the American Medical Informatics Association,30,3,,511,528,17.0,3.0,10.1093/jamia/ocac253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148249795&doi=10.1093%2fjamia%2focac253&partnerID=40&md5=807288da2f5cae62cb20b234955880da,"Objectives: While opioid addiction, treatment, and recovery are receiving attention, not much has been done on adaptive interventions to prevent opioid use disorder (OUD). To address this, we identify opioid prescription and opioid consumption as promising targets for adaptive interventions and present a design framework. Materials and Methods: Using the framework, we designed Smart Prescription Management (SPM) and Smart Consumption Monitoring (SCM) interventions. The interventions are evaluated using analytical modeling and secondary data on doctor shopping, opioid overdose, prescription quality, and cost components. Results: SPM was most effective (30-90% improvement, for example, prescriptions reduced from 18 to 1.8 per patient) for extensive doctor shopping and reduced overdose events and mortality. Opioid adherence was improved and the likelihood of addiction declined (10-30%) as the response rate to SCM was increased. There is the potential for significant incentives ($2267-$3237) to be offered for addressing severe OUD. Discussion: The framework and designed interventions adapt to changing needs and conditions of the patients to become an important part of global efforts in preventing OUD. To the best of our knowledge, this is the first paper on adaptive interventions for preventing OUD by addressing both prescription and consumption. Conclusion: SPM and SCM improved opioid prescription and consumption while reducing the risk of opioid addiction. These interventions will assist in better prescription decisions and in managing opioid consumption leading to desirable outcomes. The interventions can be extended to other substance use disorders and to study complex scenarios of prescription and nonprescription opioids in clinical studies.  © 2022 The Author(s). Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved.",adaptive intervention; analytical model and evaluation; design framework; mobile health; opioid use disorder; prescription and consumption,"Analgesics, Opioid; Drug Overdose; Humans; Opioid-Related Disorders; Physicians; Prescriptions; opiate; narcotic analgesic agent; Article; drug monitoring; drug use; human; intoxication; opiate addiction; prescription; drug overdose; opiate addiction; physician; prescription",,"N. Singh; University of Illinois Springfield, One University Plaza, Springfield, MS UHB 4093, 62703, United States; email: nsing2@uis.edu",Oxford University Press,,,,,,10675027,,JAMAF,36562638.0,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85148249795
Dolin R.H.; Heale B.S.E.; Alterovitz G.; Gupta R.; Aronson J.; Boxwala A.; Gothi S.R.; Haines D.; Hermann A.; Hongsermeier T.; Husami A.; Jones J.; Naeymi-Rad F.; Rapchak B.; Ravishankar C.; Shalaby J.; Terry M.; Xie N.; Zhang P.; Chamala S.,"Dolin, Robert H. (57196612721); Heale, Bret S. E (8918857100); Alterovitz, Gil (6505925601); Gupta, Rohan (58105403600); Aronson, Justin (58105335100); Boxwala, Aziz (6701913960); Gothi, Shaileshbhai R (57222222977); Haines, David (58450457600); Hermann, Arthur (58105301400); Hongsermeier, Tonya (13404693000); Husami, Ammar (35784501100); Jones, James (57215855571); Naeymi-Rad, Frank (6603959057); Rapchak, Barbara (8207302000); Ravishankar, Chandan (58105403700); Shalaby, James (6504618952); Terry, May (57219769296); Xie, Ning (57222229018); Zhang, Powell (58105403800); Chamala, Srikar (23472194900)",57196612721; 8918857100; 6505925601; 58105403600; 58105335100; 6701913960; 57222222977; 58450457600; 58105301400; 13404693000; 35784501100; 57215855571; 6603959057; 8207302000; 58105403700; 6504618952; 57219769296; 57222229018; 58105403800; 23472194900,Introducing HL7 FHIR Genomics Operations: A developer-friendly approach to genomics-EHR integration,2023,Journal of the American Medical Informatics Association,30,3,,485,493,8.0,8.0,10.1093/jamia/ocac246,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148249831&doi=10.1093%2fjamia%2focac246&partnerID=40&md5=280fc7c12249744005f3fa706781aace,"Objective: Enabling clinicians to formulate individualized clinical management strategies from the sea of molecular data remains a fundamentally important but daunting task. Here, we describe efforts towards a new paradigm in genomics-electronic health record (HER) integration, using a standardized suite of FHIR Genomics Operations that encapsulates the complexity of molecular data so that precision medicine solution developers can focus on building applications. Materials and Methods: FHIR Genomics Operations essentially ""wrap""a genomics data repository, presenting a uniform interface to applications. More importantly, operations encapsulate the complexity of data within a repository and normalize redundant data representations-particularly relevant in genomics, where a tremendous amount of raw data exists in often-complex non-FHIR formats. Results: Fifteen FHIR Genomics Operations have been developed, designed to support a wide range of clinical scenarios, such as variant discovery; clinical trial matching; hereditary condition and pharmacogenomic screening; and variant reanalysis. Operations are being matured through the HL7 balloting process, connectathons, pilots, and the HL7 FHIR Accelerator program. Discussion: Next-generation sequencing can identify thousands to millions of variants, whose clinical significance can change over time as our knowledge evolves. To manage such a large volume of dynamic and complex data, new models of genomics-EHR integration are needed. Qualitative observations to date suggest that freeing application developers from the need to understand the nuances of genomic data, and instead base applications on standardized APIs can not only accelerate integration but also dramatically expand the applications of Omic data in driving precision care at scale for all.  © 2022 The Author(s). Published by Oxford University Press on behalf of the American Medical Informatics Association.",application programming interface; clinical decision support; clinical genomics; electronic health record; HL7 FHIR,Electronic Health Records; Genomics; Health Level Seven; Time; Article; clinical significance; decision support system; electronic health record; Fast Healthcare Interoperability Resources; genetic disorder; genomics; high throughput sequencing; human; information processing; personalized medicine; pharmacogenetic testing; health level 7; time,,"R.H. Dolin; Elimu Informatics, El Cerrito, 1709 Julian Ct, 94530, United States; email: bdolin@elimu.io",Oxford University Press,,,,,,10675027,,JAMAF,36548217.0,English,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85148249831
Espinoza J.C.,"Espinoza, Juan C. (56785374400)",56785374400,Integrating diabetes technology data in the EHR,2022,Diabetes Digital Health and Telehealth,,,,29,42,13.0,0.0,10.1016/B978-0-323-90557-2.00012-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143306270&doi=10.1016%2fB978-0-323-90557-2.00012-1&partnerID=40&md5=315fa1061ab1152e101b6af8cd7146a6,"Over the past twodecades, a number of technologies have developed that allow patients and professionals to measure and document a number of aspects of diabetes, including blood glucose, medications, diet, physical activity, weight, symptoms, and patient experience. These diabetes technologies generate a wealth of data that until fairly recently was only accessible through manufacturer or developer data portals, decreasing their usability and portability into healthcare settings. Electronic health record data integration presents an exciting opportunity to simplify and streamline diabetes care into a single workflow. By incorporating these additional data sources into the patient's record, providers will have a more holistic view of the patient, which will enable more personalized treatment plans and more comprehensive documentation. However, there are several technical, operational, financial, and regulatory considerations for any data integration project. A relatively recent development, there are few standards for diabetes technology data, resulting in a variety of approaches that may inhibit diffusion and interoperability. This chapter will (1) explore a framework to understand the components required for successful diabetes technology data integration, (2) identify critical barriers to making progress in the field, and (3) propose solutions to deliver on the promise of digital diabetes care. © 2022 Elsevier Inc. All rights reserved.",Continuousglucose monitoring; Data integration; Data standards; Diabetes; EHR; Health information technology; Innovation; Interoperability; Personalized care; Workflows,,,,Elsevier,,,,,,,978-032390557-2; 978-032390676-0,,,English,Book chapter,Final,,Scopus,2-s2.0-85143306270
Bae S.; Yi B.-K.,"Bae, Sungchul (55616696800); Yi, Byoung-Kee (36824549000)",55616696800; 36824549000,Development of eClaim system for private indemnity health insurance in South Korea: Compatibility and interoperability,2022,Health Informatics Journal,28,1,,,,,4.0,10.1177/14604582211071019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123064931&doi=10.1177%2f14604582211071019&partnerID=40&md5=f7933e28a2731bd6fe84743c600bef26,"South Korea has the mandatory National Health Insurance (NHI) and supplemental Private Indemnity Health Insurance (PIHI). According to the Financial Supervisory Service, the share of the population with PIHI increased to 66% in 2018 due to the financial burden. However, since the traditional PIHI claim workflow is based on the paper attachment method, it is a big burden to every stakeholder and limits the usability and accessibility of the claims data. To improve the traditional PIHI claim workflow, we developed the electronic claim (eClaim) service for the PIHI in Korea. We also applied the HL7® (Health Level Seven) FHIR® (Fast Healthcare Interoperability Resources) standard to ensure interoperability of the claims data. The proposed eClaim Service has been launched in 2017. It has been increased from 8155 in the first half of 2018 to 114,087 in the second half of 2020. Currently, 60 healthcare providers and 22 payers participated in this service. In this study, we proposed an eClaim workflow and service to improve the legacy system. The proposed method can be helpful to other entities planning for their own health insurance system and also applied to various practical purposes including value-based care, automated claim review, and clinical research. © The Author(s) 2022.",Claims; eclaim; fast healthcare interoperability resources; health insurance; interoperability; national health insurance; private indemnity health insurance,"Electronic Health Records; Health Level Seven; Humans; Insurance, Health; Republic of Korea; article; clinical research; Fast Healthcare Interoperability Resources; health care personnel; health level 7; human; national health insurance; South Korea; workflow; electronic health record; health insurance; health level 7; South Korea","The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research was supported by a grant of the Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI), funded by the Ministry of Health and Welfare, Republic of Korea (grant number: HI19C1026). ","B.-K. Yi; Data Science Research Institute, Samsung Medical Center, Seoul, South Korea; email: byoungkeeyi@gmail.com",SAGE Publications Ltd,,,,,,14604582,,HIJEA,35034475.0,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85123064931
SooHoo S.; Keller M.S.; Moyse H.; Robbins B.; McLaughlin M.; Arora A.; Burger A.; Huang L.; Huang S.-C.; Goud A.; Truong L.; Rodriguez D.; Roberts P.,"SooHoo, Spencer (57221924292); Keller, Michelle S. (57194618699); Moyse, Harold (57457847300); Robbins, Benjamin (57457936600); McLaughlin, Matthew (57457300100); Arora, Ajay (57457300200); Burger, Abigail (57457392200); Huang, Lilith (57217664108); Huang, Shao-Chi (58133012800); Goud, Anil (57222554866); Truong, Lyna (57222069772); Rodriguez, Donaldo (57457847400); Roberts, Pamela (8358241100)",57221924292; 57194618699; 57457847300; 57457936600; 57457300100; 57457300200; 57457392200; 57217664108; 58133012800; 57222554866; 57222069772; 57457847400; 8358241100,Accessing Patient Electronic Health Record Portals Safely Using Social Credentials: Demonstration Pilot Study,2022,JMIR Formative Research,6,1,e29647,,,,5.0,10.2196/29647,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124850275&doi=10.2196%2f29647&partnerID=40&md5=cf654c2a28fca87e97516c2820887cfd,"Background: Patient portals allow communication with clinicians, access to test results, appointments, etc, and generally requires another set of log-ins and passwords, which can become cumbersome, as patients often have records at multiple institutions. Social credentials (eg, Google and Facebook) are increasingly used as a federated identity to allow access and reduce the password burden. Single Federated Identity Log-in for Electronic health records (Single-FILE) is a real-world test of the feasibility and acceptability of federated social credentials for patients to access their electronic health records (EHRs) at multiple organizations with a single sign-on (SSO). Objective: This study aims to deploy a federated identity system for health care in a real-world environment so patients can safely use a social identity to access their EHR data at multiple organizations. This will help identify barriers and inform guidance for the deployment of such systems. Methods: Single-FILE allowed patients to pick a social identity (such as Google or Facebook) as a federated identity for multisite EHR patient portal access with an SSO. Binding the identity to the patient’s EHR records was performed by confirming that the patient had a valid portal log-in and sending a one-time passcode to a telephone (SMS text message or voice) number retrieved from the EHR. This reduced the risk of stolen EHR portal credentials. For a real-world test, we recruited 8 patients and (or) their caregivers who had EHR data at 2 independent health care facilities, enrolled them into Single-FILE, and allowed them to use their social identity credentials to access their patient records. We used a short qualitative interview to assess their interest and use of a federated identity for SSO. Single-FILE was implemented as a web-based patient portal, although the concept can be readily implemented on a variety of mobile platforms. Results: We interviewed the patients and their caregivers to assess their comfort levels with using a social identity for access. Patients noted that they appreciated only having to remember 1 log-in as part of Single-FILE and being able to sign up through Facebook. Conclusions: Our results indicate that from a technical perspective, a social identity can be used as a federated identity that is bound to a patient’s EHR data. The one-time passcode sent to the patient’s EHR phone number provided assurance that the binding is valid. The patients indicated that they were comfortable with using their social credentials instead of having to remember the log-in credentials for their EHR portal. Our experience will help inform the implementation of federated identity systems in health care in the United States. © 2022. JMIR Publications Inc.. All rights reserved.",Acceptability; Clinical support; Communication; Credentials; EHR; Electronic health records; Feasibility; Federated identity; Patient communication; Patient portal; Patient portal access; Single sign-on; Social credentials; Social identity,,"The authors would like to thank Dr Richard Riggs (Cedars-Sinai) for his support and help with access to technical staff at Select Medical and to patients at Cal Rehab. They would also like to thank Katie Gorris (Cedars-Sinai) and Ellen Nadeau (National Institutes of Standards and Technology [NIST]), who assisted with the privacy risk assessment methodology, and Kat Megas and Barbara Cuthill (NIST), who provided technical and administrative guidance and support during the project. Technical assistance during software development was provided by the following Cedars-Sinai staff: Hammad Ausaf, Marcin Bauer, Brian Haigh, Marc Trotoux, and Richard Villaran. This work was supported by NIST award 70NANB16H252.","S. SooHoo; Enterprise Information Systems, Cedars-Sinai Medical Center, Los Angeles, 6500 Wilshire Bl Suite 200, 90048, United States; email: spencer.soohoo@csmc.edu",JMIR Publications Inc.,,,,,,2561326X,,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85124850275
Ndlovu K.; Scott R.E.; Mars M.,"Ndlovu, Kagiso (57189492929); Scott, Richard E. (7404343143); Mars, Maurice (7005417542)",57189492929; 7404343143; 7005417542,Interoperability opportunities and challenges in linking mhealth applications and eRecord systems: Botswana as an exemplar,2021,BMC Medical Informatics and Decision Making,21,1,246,,,,17.0,10.1186/s12911-021-01606-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113216621&doi=10.1186%2fs12911-021-01606-7&partnerID=40&md5=dd7630bab447f09147e7198c26d25ac9,"Background: Significant investments have been made towards the implementation of mHealth applications and eRecord systems globally. However, fragmentation of these technologies remains a big challenge, often unresolved in developing countries. In particular, evidence shows little consideration for linking mHealth applications and eRecord systems. Botswana is a typical developing country in sub-Saharan Africa that has explored mHealth applications, but the solutions are not interoperable with existing eRecord systems. This paper describes Botswana’s eRecord systems interoperability landscape and provides guidance for linking mHealth applications to eRecord systems, both for Botswana and for developing countries using Botswana as an exemplar. Methods: A survey and interviews of health ICT workers and a review of the Botswana National eHealth Strategy were completed. Perceived interoperability benefits, opportunities and challenges were charted and analysed, and future guidance derived. Results: Survey and interview responses showed the need for interoperable mHealth applications and eRecord systems within the health sector of Botswana and within the context of the National eHealth Strategy. However, the current Strategy does not address linking mHealth applications to eRecord systems. Across Botswana’s health sectors, global interoperability standards and Application Programming Interfaces are widely used, with some level of interoperability within, but not between, public and private facilities. Further, a mix of open source and commercial eRecord systems utilising relational database systems and similar data formats are supported. Challenges for linking mHealth applications and eRecord systems in Botswana were identified and categorised into themes which led to development of guidance to enhance the National eHealth Strategy. Conclusion: Interoperability between mHealth applications and eRecord systems is needed and is feasible. Opportunities and challenges for linking mHealth applications to eRecord systems were identified, and future guidance stemming from this insight presented. Findings will aid Botswana, and other developing countries, in resolving the pervasive disconnect between mHealth applications and eRecord systems. © 2021, The Author(s).",Botswana; Challenges; eHealth; eRecord systems; Interoperability; mHealth applications; Opportunities,Africa South of the Sahara; Botswana; Humans; Telemedicine; article; Botswana; building; data interoperability; developing country; human; interview; telehealth; worker; Africa south of the Sahara; Botswana; telemedicine,Funding text 1: KN thanks Cammille Go (health informatician) and Kadimo Khutsafalo (librarian) for their valued contributions in the data collection tool review process.; Funding text 2: Research reported in this publication was supported by the Fogarty International Center of the National Institutes of Health under Award Number D43TW007004-13. The views expressed in the submitted manuscript are solely those of the authors and not an official position of their institutions or the Fogarty International Center of the National Institutes of Health. ,"K. Ndlovu; Department of TeleHealth, School of Nursing and Public Health, College of Health Sciences, University of KwaZulu-Natal, Durban, South Africa; email: ndlovuk@ub.ac.bw",BioMed Central Ltd,,,,,,14726947,,,34419020.0,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85113216621
Jenssen B.P.; Thayer J.; Nekrasova E.; Grundmeier R.W.; Fiks A.G.,"Jenssen, Brian P. (26323658100); Thayer, Jeritt (57208133720); Nekrasova, Ekaterina (57214689605); Grundmeier, Robert W. (16834717900); Fiks, Alexander G. (16039462300)",26323658100; 57208133720; 57214689605; 16834717900; 16039462300,Innovation in the pediatric electronic health record to realize a more effective platform,2022,Current Problems in Pediatric and Adolescent Health Care,52,1,101109,,,,6.0,10.1016/j.cppeds.2021.101109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120912758&doi=10.1016%2fj.cppeds.2021.101109&partnerID=40&md5=bd2ed2361b58ee5fb42e1543dd6b602e,"Commercial electronic health records (EHRs) were first developed to automate business processes. As EHRs developed, design principles focused on transferring existing paper-based documentation to comparable electronic forms. In addition, a strong industry focus on adult healthcare settings and quality measures has limited attention and resources for high priority EHR functionality needed for the unique health care of children. The objective of this paper is to provide a review of innovation in the EHR, that includes a variety of established and emerging technologies that may help realize a more effective EHR in child health settings. A more effective EHR would serve as an electronic hub. Existing EHR infrastructure could provide the foundation upon which new technologies and approaches branch and extend, enabling more rapid and customizable innovation to better meet shifting stakeholder and end-user needs. Among many areas for improvement, key goals of innovation could include technology that relieves ambulatory primary care clinician documentation burden, identifies needs, and supports improved care coordination and outcomes, focused on the following key areas: identification of child and family care needs, decision support, documentation, care coordination, and family communication. © 2021 Elsevier Inc.",,Adult; Child; Documentation; Electronic Health Records; Humans; article; child; child health; decision support system; electronic health record; family counseling; human; outcome assessment; primary medical care; adult; documentation,,"B.P. Jenssen; Philadelphia, 2716 South Street, 11-201, 19146, United States; email: Jenssenb@chop.edu",Elsevier Inc.,,,,,,15385442,,CPPAC,34895836.0,English,Article,Final,,Scopus,2-s2.0-85120912758
